supplier_name,total_products,categories_supplied,total_inventory_value,total_stock,avg_unit_price,total_sales_volume,avg_turnover_rate,low_stock_count,active_products,last_order_month,low_stock_pct,supply_reliability_score,gold_processed_at
Camido,3,2,866.0,158,4.92,182,71.33,3,0,2024-05,100.0,30.58,2026-05-17 04:24:58
Dynazzy,1,1,41.0,41,1.0,30,100.0,1,0,2025-02,100.0,30.53,2026-05-17 04:24:58
Podcat,1,1,399.75,41,9.75,93,88.0,1,1,2024-11,100.0,30.51,2026-05-17 04:24:58
Avamba,2,2,132.0,38,3.75,100,86.5,2,1,2025-01,100.0,30.46,2026-05-17 04:24:58
Skilith,2,2,770.0,130,5.25,138,30.0,1,1,2025-01,50.0,30.21,2026-05-17 04:24:58
Jatri,3,2,776.8,128,4.47,101,52.67,2,1,2024-12,66.67,30.05,2026-05-17 04:24:58
Wordify,2,1,322.0,74,5.0,90,38.0,1,1,2024-11,50.0,29.87,2026-05-17 04:24:58
Oyoloo,3,1,486.8,107,4.47,147,43.33,2,1,2025-02,66.67,29.86,2026-05-17 04:24:58
Kamba,4,3,1372.0,182,7.25,236,34.25,3,1,2024-12,75.0,29.77,2026-05-17 04:24:58
Meetz,1,1,400.5,89,4.5,38,96.0,1,0,2025-01,100.0,29.76,2026-05-17 04:24:58
Quamba,2,2,276.0,98,6.0,49,44.0,1,1,2024-11,50.0,29.32,2026-05-17 04:24:58
Buzzshare,3,3,333.0,77,3.93,151,40.0,2,1,2024-12,66.67,29.07,2026-05-17 04:24:58
Yakitri,3,3,501.5,132,3.83,252,52.67,3,1,2024-12,100.0,28.91,2026-05-17 04:24:58
Pixope,1,1,170.0,34,5.0,77,85.0,1,1,2024-06,100.0,28.65,2026-05-17 04:24:58
Digitube,2,2,171.0,74,2.5,116,77.5,2,0,2024-07,100.0,28.61,2026-05-17 04:24:58
Yotz,2,2,459.0,106,5.25,94,81.5,2,1,2025-02,100.0,28.56,2026-05-17 04:24:58
Browsezoom,2,2,466.0,103,3.25,128,26.5,1,0,2024-12,50.0,28.54,2026-05-17 04:24:58
Yambee,2,2,120.0,49,3.0,151,70.5,2,1,2024-07,100.0,28.5,2026-05-17 04:24:58
Jabbertype,2,2,702.0,73,8.38,87,33.0,1,1,2024-10,50.0,28.15,2026-05-17 04:24:58
Rhynyx,2,2,757.5,111,6.25,134,23.5,1,0,2025-02,50.0,27.97,2026-05-17 04:24:58
Omba,4,2,460.0,167,2.52,238,27.75,3,1,2025-02,75.0,27.88,2026-05-17 04:24:58
Photolist,1,1,36.0,12,3.0,46,88.0,1,0,2025-01,100.0,27.75,2026-05-17 04:24:58
Kayveo,3,2,1175.0,155,7.58,160,65.33,3,0,2024-10,100.0,27.43,2026-05-17 04:24:58
Yodel,1,1,90.2,22,4.1,45,87.0,1,0,2024-07,100.0,27.39,2026-05-17 04:24:58
Kare,2,2,317.0,96,3.6,118,73.0,2,1,2024-10,100.0,27.34,2026-05-17 04:24:58
Muxo,1,1,110.0,44,2.5,21,91.0,1,0,2024-04,100.0,27.22,2026-05-17 04:24:58
Zoonoodle,1,1,23.0,23,1.0,84,78.0,1,0,2025-02,100.0,26.89,2026-05-17 04:24:58
Topiclounge,3,2,359.4,115,2.57,177,60.0,3,1,2024-06,100.0,26.78,2026-05-17 04:24:58
Photobean,4,3,681.0,131,5.5,153,40.25,3,1,2025-01,75.0,26.76,2026-05-17 04:24:58
Browsecat,2,1,238.0,118,2.12,123,70.0,2,0,2024-12,100.0,26.7,2026-05-17 04:24:58
Eazzy,1,1,425.0,85,5.0,61,80.0,1,0,2024-06,100.0,26.16,2026-05-17 04:24:58
Meedoo,1,1,225.0,75,3.0,96,73.0,1,0,2024-04,100.0,26.05,2026-05-17 04:24:58
Mydo,3,2,649.0,183,3.0,140,32.0,2,2,2025-02,66.67,25.95,2026-05-17 04:24:58
Zoomzone,1,1,220.8,46,4.8,59,79.0,1,0,2024-12,100.0,25.73,2026-05-17 04:24:58
Vimbo,4,3,623.4,231,2.86,190,29.75,3,1,2024-12,75.0,25.69,2026-05-17 04:24:58
Skyba,2,1,322.5,76,3.38,70,27.5,1,1,2024-04,50.0,25.45,2026-05-17 04:24:58
Buzzdog,2,2,408.6,53,8.05,127,65.0,2,1,2024-08,100.0,25.39,2026-05-17 04:24:58
Browsebug,1,1,258.0,43,6.0,78,73.0,1,0,2024-09,100.0,24.99,2026-05-17 04:24:58
Voolith,3,2,489.5,127,4.83,204,16.67,2,1,2024-12,66.67,24.96,2026-05-17 04:24:58
Skiptube,2,2,880.0,105,9.0,140,60.5,2,0,2024-06,100.0,24.76,2026-05-17 04:24:58
Thoughtbridge,1,1,31.2,26,1.2,84,70.0,1,1,2024-02,100.0,24.42,2026-05-17 04:24:58
Rhyzio,2,1,238.4,89,2.6,119,62.5,2,2,2025-02,100.0,24.15,2026-05-17 04:24:58
Trilith,1,1,155.0,62,2.5,41,77.0,1,0,2024-05,100.0,24.06,2026-05-17 04:24:58
Trudeo,2,2,244.0,109,2.25,125,60.5,2,0,2024-05,100.0,23.88,2026-05-17 04:24:58
Zoombeat,1,1,225.0,45,5.0,90,67.0,1,1,2024-03,100.0,23.84,2026-05-17 04:24:58
Youfeed,3,2,1152.0,192,5.67,108,31.0,2,1,2024-07,66.67,23.76,2026-05-17 04:24:58
Zooxo,2,2,259.4,134,1.9,133,58.0,2,0,2024-12,100.0,23.58,2026-05-17 04:24:58
Roodel,2,2,751.5,134,5.85,81,18.5,1,0,2024-07,50.0,23.31,2026-05-17 04:24:58
Realfire,1,1,2.0,10,0.2,100,63.0,1,0,2024-12,100.0,23.19,2026-05-17 04:24:58
Browseblab,2,2,131.0,37,3.5,121,59.0,2,1,2025-02,100.0,23.18,2026-05-17 04:24:58
Gabspot,2,1,644.5,149,3.75,99,14.5,1,0,2024-05,50.0,23.13,2026-05-17 04:24:58
Kwinu,1,1,108.0,24,4.5,24,77.0,1,0,2024-05,100.0,23.06,2026-05-17 04:24:58
Mynte,2,1,144.5,79,1.75,161,50.5,2,1,2024-11,100.0,22.9,2026-05-17 04:24:58
Feedbug,2,2,291.5,56,5.25,89,64.0,2,0,2024-10,100.0,22.85,2026-05-17 04:24:58
BlogXS,5,4,1145.0,258,5.06,228,33.8,5,1,2025-02,100.0,21.67,2026-05-17 04:24:58
Jayo,3,2,569.1,119,4.7,190,40.33,3,1,2024-07,100.0,21.46,2026-05-17 04:24:58
Yakidoo,1,1,624.0,52,12.0,31,69.0,1,0,2024-10,100.0,21.0,2026-05-17 04:24:58
Twitternation,2,1,203.0,107,3.0,74,11.0,1,0,2025-02,50.0,20.58,2026-05-17 04:24:58
Dazzlesphere,4,3,744.0,153,5.12,166,41.5,4,1,2024-12,100.0,20.41,2026-05-17 04:24:58
Leenti,1,1,337.5,75,4.5,26,68.0,1,0,2024-06,100.0,20.4,2026-05-17 04:24:58
Wikizz,2,1,200.0,60,3.0,121,49.0,2,1,2024-07,100.0,20.09,2026-05-17 04:24:58
Feedmix,2,2,416.4,88,4.65,140,42.5,2,0,2024-10,100.0,19.2,2026-05-17 04:24:58
Divanoodle,1,1,552.5,85,6.5,78,53.0,1,0,2024-07,100.0,18.81,2026-05-17 04:24:58
Oyoba,1,1,189.0,21,9.0,69,51.0,1,0,2024-02,100.0,17.66,2026-05-17 04:24:58
Tagchat,2,2,380.0,101,3.75,97,43.0,2,1,2024-12,100.0,16.83,2026-05-17 04:24:58
Vipe,2,2,767.5,118,6.35,74,46.0,2,0,2025-01,100.0,16.41,2026-05-17 04:24:58
Rhybox,1,1,171.0,19,9.0,29,54.0,1,0,2025-02,100.0,16.24,2026-05-17 04:24:58
Yombu,3,3,300.6,113,3.37,190,22.67,3,0,2025-02,100.0,16.0,2026-05-17 04:24:58
Tagcat,2,1,239.0,100,3.28,124,35.0,2,0,2024-07,100.0,15.94,2026-05-17 04:24:58
Voonyx,1,1,100.5,67,1.5,66,42.0,1,0,2024-05,100.0,14.7,2026-05-17 04:24:58
Jabbercube,2,2,113.2,32,3.9,137,27.5,2,1,2024-07,100.0,14.38,2026-05-17 04:24:58
Edgeclub,1,1,144.0,48,3.0,51,41.0,1,1,2024-05,100.0,13.51,2026-05-17 04:24:58
Demizz,1,1,37.5,25,1.5,31,41.0,1,0,2024-08,100.0,12.34,2026-05-17 04:24:58
Skiba,1,1,70.0,35,2.0,76,32.0,1,1,2025-02,100.0,12.19,2026-05-17 04:24:58
Brightdog,2,2,336.0,76,4.0,97,27.0,2,1,2024-08,100.0,11.88,2026-05-17 04:24:58
Feedspan,1,1,104.0,26,4.0,47,35.0,1,1,2024-06,100.0,11.42,2026-05-17 04:24:58
Gevee,3,3,591.1,101,4.82,146,15.0,3,1,2024-08,100.0,11.04,2026-05-17 04:24:58
Photojam,1,1,63.0,18,3.5,42,32.0,1,0,2024-10,100.0,10.2,2026-05-17 04:24:58
Twitterlist,1,1,175.95,69,2.55,29,34.0,1,0,2024-04,100.0,10.06,2026-05-17 04:24:58
Wordware,2,2,147.4,55,4.0,95,19.0,2,1,2025-01,100.0,9.29,2026-05-17 04:24:58
Brainsphere,1,1,77.0,20,3.85,61,25.0,1,0,2025-01,100.0,9.15,2026-05-17 04:24:58
Yoveo,1,1,46.0,23,2.0,63,23.0,1,0,2025-01,100.0,8.65,2026-05-17 04:24:58
Vinte,2,2,288.7,88,2.65,82,19.0,2,1,2024-08,100.0,8.53,2026-05-17 04:24:58
Eamia,1,1,80.0,16,5.0,21,29.0,1,0,2025-01,100.0,8.04,2026-05-17 04:24:58
Skajo,2,2,182.9,39,4.45,68,17.5,2,0,2025-01,100.0,7.24,2026-05-17 04:24:58
Eadel,2,2,520.0,98,5.0,83,12.0,2,0,2024-10,100.0,6.42,2026-05-17 04:24:58
Topiczoom,1,1,365.0,73,5.0,87,10.0,1,0,2025-02,100.0,6.04,2026-05-17 04:24:58
Zoomlounge,1,1,284.0,71,4.0,58,14.0,1,0,2024-02,100.0,5.57,2026-05-17 04:24:58
Teklist,1,1,102.0,17,6.0,37,16.0,1,1,2024-04,100.0,4.96,2026-05-17 04:24:58
Innotype,1,1,153.0,51,3.0,23,17.0,1,1,2024-04,100.0,4.45,2026-05-17 04:24:58
Skyvu,1,1,44.0,11,4.0,84,4.0,1,1,2024-09,100.0,4.0,2026-05-17 04:24:58
Twinte,1,1,175.0,70,2.5,34,3.0,1,1,2024-09,100.0,0.76,2026-05-17 04:24:58
