supplier_name,total_products,categories_supplied,total_inventory_value,total_stock,avg_unit_price,total_sales_volume,avg_turnover_rate,low_stock_count,active_products,low_stock_pct,supply_reliability_score,gold_processed_at
Vitz,3,2,613.4,123,4.6,108,55.67,2,0,66.67,31.07,2026-04-27 19:17:44
Podcat,1,1,399.75,41,9.75,93,88.0,1,1,100.0,30.29,2026-04-27 19:17:44
Browsecat,3,2,1726.0,166,11.75,193,71.33,3,0,100.0,30.27,2026-04-27 19:17:44
Avamba,2,2,132.0,38,3.75,100,86.5,2,1,100.0,30.19,2026-04-27 19:17:44
Meetz,1,1,400.5,89,4.5,38,96.0,1,0,100.0,29.95,2026-04-27 19:17:44
Jatri,3,2,776.8,128,4.47,101,52.67,2,1,66.67,29.78,2026-04-27 19:17:44
Wordify,2,1,322.0,74,5.0,90,38.0,1,1,50.0,29.68,2026-04-27 19:17:44
Skilith,2,2,770.0,130,5.25,138,30.0,1,1,50.0,29.67,2026-04-27 19:17:44
Plajo,3,3,938.0,200,5.0,255,26.33,2,1,66.67,29.54,2026-04-27 19:17:44
Skajo,3,3,1172.9,138,6.3,162,41.33,2,0,66.67,29.4,2026-04-27 19:17:44
Oyoloo,3,1,486.8,107,4.47,147,43.33,2,1,66.67,29.25,2026-04-27 19:17:44
Voonyx,2,2,560.5,90,10.75,97,35.0,1,0,50.0,29.11,2026-04-27 19:17:44
Agivu,1,1,2025.0,81,25.0,74,86.0,1,0,100.0,28.7,2026-04-27 19:17:44
Pixope,1,1,170.0,34,5.0,77,85.0,1,1,100.0,28.55,2026-04-27 19:17:44
Camimbo,2,2,1184.0,123,12.75,131,26.0,1,0,50.0,28.07,2026-04-27 19:17:44
Jabbertype,2,2,702.0,73,8.38,87,33.0,1,1,50.0,27.98,2026-04-27 19:17:44
Wikizz,3,2,480.0,74,8.67,192,64.0,3,1,100.0,27.96,2026-04-27 19:17:44
Photolist,1,1,36.0,12,3.0,46,88.0,1,0,100.0,27.88,2026-04-27 19:17:44
Yambee,2,2,120.0,49,3.0,151,70.5,2,1,100.0,27.86,2026-04-27 19:17:44
Muxo,1,1,110.0,44,2.5,21,91.0,1,0,100.0,27.53,2026-04-27 19:17:44
Yakitri,3,3,501.5,132,3.83,252,52.67,3,1,100.0,27.53,2026-04-27 19:17:44
Yodel,1,1,90.2,22,4.1,45,87.0,1,0,100.0,27.52,2026-04-27 19:17:44
Rhynyx,2,2,757.5,111,6.25,134,23.5,1,0,50.0,27.45,2026-04-27 19:17:44
Voolith,4,3,1389.5,163,9.88,239,29.5,3,1,75.0,27.2,2026-04-27 19:17:44
Kare,2,2,317.0,96,3.6,118,73.0,2,1,100.0,26.94,2026-04-27 19:17:44
Zoonoodle,1,1,23.0,23,1.0,84,78.0,1,0,100.0,26.74,2026-04-27 19:17:44
Eazzy,1,1,425.0,85,5.0,61,80.0,1,0,100.0,26.18,2026-04-27 19:17:44
Photobean,4,3,681.0,131,5.5,153,40.25,3,1,75.0,26.11,2026-04-27 19:17:44
Demizz,2,2,829.5,113,5.25,110,23.0,1,1,50.0,26.06,2026-04-27 19:17:44
Topiclounge,3,2,359.4,115,2.57,177,60.0,3,1,100.0,25.95,2026-04-27 19:17:44
Gevee,4,4,2231.1,183,8.61,212,29.75,3,2,75.0,25.89,2026-04-27 19:17:44
Zoomzone,1,1,220.8,46,4.8,59,79.0,1,0,100.0,25.77,2026-04-27 19:17:44
Skyba,2,1,322.5,76,3.38,70,27.5,1,1,50.0,25.4,2026-04-27 19:17:44
Mydo,3,2,649.0,183,3.0,140,32.0,2,2,66.67,25.39,2026-04-27 19:17:44
Buzzdog,2,2,408.6,53,8.05,127,65.0,2,1,100.0,24.93,2026-04-27 19:17:44
Browsebug,1,1,258.0,43,6.0,78,73.0,1,0,100.0,24.89,2026-04-27 19:17:44
Gabspot,3,2,1016.5,173,7.67,179,23.67,2,0,66.67,24.81,2026-04-27 19:17:44
Jayo,4,3,1289.1,155,8.52,281,39.0,4,1,100.0,24.79,2026-04-27 19:17:44
Vimbo,4,3,623.4,231,2.86,190,29.75,3,1,75.0,24.76,2026-04-27 19:17:44
Thoughtbridge,1,1,31.2,26,1.2,84,70.0,1,1,100.0,24.27,2026-04-27 19:17:44
Trilith,1,1,155.0,62,2.5,41,77.0,1,0,100.0,24.22,2026-04-27 19:17:44
Skiptube,2,2,880.0,105,9.0,140,60.5,2,0,100.0,24.2,2026-04-27 19:17:44
Meemm,2,2,650.0,125,10.0,62,24.5,1,1,50.0,24.06,2026-04-27 19:17:44
Zoombeat,1,1,225.0,45,5.0,90,67.0,1,1,100.0,23.65,2026-04-27 19:17:44
Trudeo,2,2,244.0,109,2.25,125,60.5,2,0,100.0,23.43,2026-04-27 19:17:44
Roodel,2,2,751.5,134,5.85,81,18.5,1,0,50.0,23.18,2026-04-27 19:17:44
Zooxo,2,2,259.4,134,1.9,133,58.0,2,0,100.0,23.07,2026-04-27 19:17:44
Realfire,1,1,2.0,10,0.2,100,63.0,1,0,100.0,22.92,2026-04-27 19:17:44
Browseblab,2,2,131.0,37,3.5,121,59.0,2,1,100.0,22.76,2026-04-27 19:17:44
Yakidoo,1,1,624.0,52,12.0,31,69.0,1,0,100.0,21.24,2026-04-27 19:17:44
Feedbug,3,3,1566.5,106,12.0,118,53.0,3,1,100.0,20.75,2026-04-27 19:17:44
Leenti,1,1,337.5,75,4.5,26,68.0,1,0,100.0,20.67,2026-04-27 19:17:44
Twitternation,2,1,203.0,107,3.0,74,11.0,1,0,50.0,20.5,2026-04-27 19:17:44
BlogXS,5,4,1145.0,258,5.06,228,33.8,5,1,100.0,20.46,2026-04-27 19:17:44
Dazzlesphere,4,3,744.0,153,5.12,166,41.5,4,1,100.0,19.66,2026-04-27 19:17:44
Tagcat,3,2,527.0,116,8.18,159,40.67,3,0,100.0,19.05,2026-04-27 19:17:44
Kwinu,2,2,852.0,86,8.25,59,56.5,2,1,100.0,18.81,2026-04-27 19:17:44
Divanoodle,1,1,552.5,85,6.5,78,53.0,1,0,100.0,18.7,2026-04-27 19:17:44
Oyoba,1,1,189.0,21,9.0,69,51.0,1,0,100.0,17.62,2026-04-27 19:17:44
Tagchat,2,2,380.0,101,3.75,97,43.0,2,1,100.0,16.58,2026-04-27 19:17:44
Vipe,2,2,767.5,118,6.35,74,46.0,2,0,100.0,16.33,2026-04-27 19:17:44
Yombu,3,3,300.6,113,3.37,190,22.67,3,0,100.0,15.07,2026-04-27 19:17:44
Rhybox,2,1,1053.0,117,9.0,82,37.0,2,1,100.0,13.96,2026-04-27 19:17:44
Jabbercube,2,2,113.2,32,3.9,137,27.5,2,1,100.0,13.84,2026-04-27 19:17:44
Edgeclub,1,1,144.0,48,3.0,51,41.0,1,1,100.0,13.6,2026-04-27 19:17:44
Skiba,1,1,70.0,35,2.0,76,32.0,1,1,100.0,12.1,2026-04-27 19:17:44
Brightdog,2,2,336.0,76,4.0,97,27.0,2,1,100.0,11.63,2026-04-27 19:17:44
Photojam,1,1,63.0,18,3.5,42,32.0,1,0,100.0,10.36,2026-04-27 19:17:44
Twitterlist,1,1,175.95,69,2.55,29,34.0,1,0,100.0,10.31,2026-04-27 19:17:44
Brainsphere,1,1,77.0,20,3.85,61,25.0,1,0,100.0,9.17,2026-04-27 19:17:44
Wordware,2,2,147.4,55,4.0,95,19.0,2,1,100.0,9.06,2026-04-27 19:17:44
Vinte,2,2,288.7,88,2.65,82,19.0,2,1,100.0,8.39,2026-04-27 19:17:44
Eamia,1,1,80.0,16,5.0,21,29.0,1,0,100.0,8.35,2026-04-27 19:17:44
Eadel,2,2,520.0,98,5.0,83,12.0,2,0,100.0,6.28,2026-04-27 19:17:44
Topiczoom,1,1,365.0,73,5.0,87,10.0,1,0,100.0,5.86,2026-04-27 19:17:44
Zoomlounge,1,1,284.0,71,4.0,58,14.0,1,0,100.0,5.61,2026-04-27 19:17:44
Teklist,1,1,102.0,17,6.0,37,16.0,1,1,100.0,5.15,2026-04-27 19:17:44
Realbridge,1,1,1044.0,58,18.0,25,17.0,1,0,100.0,4.84,2026-04-27 19:17:44
Innotype,1,1,153.0,51,3.0,23,17.0,1,1,100.0,4.74,2026-04-27 19:17:44
Skyvu,1,1,44.0,11,4.0,84,4.0,1,1,100.0,3.85,2026-04-27 19:17:44
Twinte,1,1,175.0,70,2.5,34,3.0,1,1,100.0,0.98,2026-04-27 19:17:44
